Province_State,Country,Last_Update,Confirmed,Deaths,Recovered,Province_State,Lat,Lon
"Bonner, Idaho",US,2020-07-31,143,0,0,"Bonner, Idaho",48.29996017,-116.6017932
"Bonneville, Idaho",US,2020-07-31,636,1,0,"Bonneville, Idaho",43.38713372,-111.6161537
"Boone, Arkansas",US,2020-07-31,142,1,0,"Boone, Arkansas",36.3084504,-93.09374925
"Boone, Illinois",US,2020-07-31,712,23,0,"Boone, Illinois",42.32359279,-88.82345779
"Boone, Indiana",US,2020-07-31,609,45,0,"Boone, Indiana",40.0509304,-86.46841646
"Boone, Iowa",US,2020-07-31,224,2,0,"Boone, Iowa",42.03657094,-93.9313999
"Boone, Kentucky",US,2020-07-31,965,24,0,"Boone, Kentucky",38.97065142,-84.72615357
"Boone, Missouri",US,2020-07-31,1125,3,0,"Boone, Missouri",38.99186229,-92.30723575
"Boone, Nebraska",US,2020-07-31,7,0,0,"Boone, Nebraska",41.70759415,-98.06737183
"Boone, West Virginia",US,2020-07-31,70,0,0,"Boone, West Virginia",38.01974191,-81.69888019
"Bosque, Texas",US,2020-07-31,112,2,0,"Bosque, Texas",31.89978581,-97.63613524
"Bossier, Louisiana",US,2020-07-31,2017,66,0,"Bossier, Louisiana",32.67932307,-93.60460152
"Botetourt, Virginia",US,2020-07-31,183,5,0,"Botetourt, Virginia",37.55531756,-79.80982182
"Bottineau, North Dakota",US,2020-07-31,10,0,0,"Bottineau, North Dakota",48.79106111,-100.8378166
"Boulder, Colorado",US,2020-07-31,1840,75,0,"Boulder, Colorado",40.09313619,-105.3546767
"Boundary, Idaho",US,2020-07-31,33,0,0,"Boundary, Idaho",48.76684761,-116.4630179
"Bourbon, Kansas",US,2020-07-31,65,1,0,"Bourbon, Kansas",37.85508555,-94.84865997
"Bourbon, Kentucky",US,2020-07-31,66,1,0,"Bourbon, Kentucky",38.2054607,-84.21827874
"Bowie, Texas",US,2020-07-31,693,26,0,"Bowie, Texas",33.44626922,-94.41834132
"Bowman, North Dakota",US,2020-07-31,6,0,0,"Bowman, North Dakota",46.11285362,-103.5203343
"Box Butte, Nebraska",US,2020-07-31,10,0,0,"Box Butte, Nebraska",42.22079243,-103.0878834
"Boyd, Kentucky",US,2020-07-31,164,3,0,"Boyd, Kentucky",38.36176608,-82.68652187
"Boyd, Nebraska",US,2020-07-31,1,0,0,"Boyd, Nebraska",42.8997274,-98.76486568
"Boyle, Kentucky",US,2020-07-31,125,0,0,"Boyle, Kentucky",37.62680923,-84.8633779
"Bracken, Kentucky",US,2020-07-31,28,0,0,"Bracken, Kentucky",38.69158994,-84.08532444
"Bradford, Florida",US,2020-07-31,316,3,0,"Bradford, Florida",29.95079741,-82.16611613
"Bradford, Pennsylvania",US,2020-07-31,80,3,0,"Bradford, Pennsylvania",41.78869215,-76.51570822
"Bradley, Arkansas",US,2020-07-31,134,3,0,"Bradley, Arkansas",33.46755808,-92.15980837
